Ticket,Product,tag_int
39119,"Stake 1.5"" RW",39119.0
39126,"Stake 1.5"" RW",39126.0
39053,RO 4/4 ROL,39053.0
39064,RO 4/4 ROL,39064.0
39103,"Stake 1.5"" RW",39103.0
39134,"Stake 1.5"" RW",39134.0
39135,"Stake 1.5"" RW",39135.0
39136,RO 4/4 ROL,39136.0
39180,CMat18 12x12,39180.0
39294,Ties14 6x8,39294.0
39295,Ties14 6x8,39295.0
39299,Ties14 6x8,39299.0
39302,CMat14 6x8,39302.0
39303,CMat16 6x8,39303.0
39310,Ties14 6x8,39310.0
39311,Ties14 6x8,39311.0
39386,"Stake 1.5"" RW",39386.0
39397,"Stake 1.5"" RW",39397.0
39428,"Stake 1.5"" RW",39428.0
39435,RO 4/4 ROL,39435.0
39626,Gum 4/4 ROL,39626.0
39728,"Crane Mat 16'x4'x8"" SN",39728.0
39729,"Crane Mat 16'x4'x8"" SN",39729.0
39756,"Stake 1.5"" RW",39756.0
39768,PAL8 1.75x6 (7bf ea),39768.0
39776,CMat16 6x8,39776.0
39817,"Crane Mat 20'x4'x12"" SN",39817.0
39818,"Crane Mat 20'x4'x12"" SN",39818.0
39819,"Crane Mat 20'x4'x12"" SN",39819.0
39826,CMat14 8x8,39826.0
39892,PAL14 4/4x6 (7bf ea),39892.0
39913,RO 4/4 ROL,39913.0
39929,Premat,39929.0
39938,"Crane Mat 18'x4'x8"" SN",39938.0
40040,PAL14 4/4x6 (7bf ea),40040.0
40052,PAL14 4/4x6 (7bf ea),40052.0
40063,PAL14 4/4x6 (7bf ea),40063.0
40282,Crossties9 7x9,40282.0
40300,"Crane Mat 16'x4'x8"" SN",40300.0
40301,"Crane Mat 16'x4'x8"" SN",40301.0
40302,"Crane Mat 16'x4'x8"" SN",40302.0
40303,"Crane Mat 16'x4'x8"" SN",40303.0
40327,"Crane Mat 18'x4'x8"" FN",40327.0
40328,"Crane Mat 18'x4'x8"" FN",40328.0
40392,CMat16 8x8,40392.0
40478,Crossties9 7x9,40478.0
40479,Crossties9 7x9,40479.0
40483,Crossties9 7x9,40483.0
40515,CMat14 6x8,40515.0
40530,CMat16 8x8,40530.0
40531,CMat16 8x8,40531.0
40532,CMat16 8x8,40532.0
40570,CMat16 8x10,40570.0
40576,CMat14 6x8,40576.0
40638,Gum 4/4 ROL,40638.0
40768,"Stake 1.5"" RW",40768.0
40774,Crossties9 7x9,40774.0
40775,Crossties9 7x9,40775.0
40776,Crossties9 7x9,40776.0
40777,Crossties9 7x9,40777.0
40827,Crossties9 7x9,40827.0
40832,Crossties9 7x9,40832.0
40834,Crossties9 7x9,40834.0
40836,RO 4/4 ROL,40836.0
40837,Crossties9 7x9,40837.0
40840,Crossties9 7x9,40840.0
40851,"Crane Mat 16'x4'x8"" SN",40851.0
40911,Ties12,40911.0
40916,"Stake 1.5"" RW",40916.0
40989,Crossties9 7x9,40989.0
40999,Crossties9 7x9,40999.0
41013,Crossties9 6x8,41013.0
41106,PAL8 1.5x9 (9bf ea),41106.0
41149,,41149.0
41181,PAL8 1.5x9 (9bf ea),41181.0
41251,CMat12 6x8,41251.0
41390,Ties12,41390.0
41395,IS Ties12,41395.0
48220,IS Dunnage8 3x4,48220.0
48419,IS Dunnage8 3x4,48419.0
48915,IS Dunnage8 3x4,48915.0
48949,IS CMat16 8x8,48949.0
48950,IS CMat16 8x8,48950.0
48951,IS CMat16 8x8,48951.0
48952,IS CMat16 8x8,48952.0
48989,,48989.0
48990,,48990.0
49363,IS CMat16 8x8,49363.0
49365,IS CMat16 8x8,49365.0
49366,IS CMat16 8x8,49366.0
49368,IS CMat16 8x8,49368.0
49369,IS CMat16 8x8,49369.0
49370,IS CMat16 8x8,49370.0
49503,IS CMat16 8x8,49503.0
49505,IS CMat16 8x8,49505.0
49506,IS CMat16 8x8,49506.0
50082,IS CMat16 8x8,50082.0
50083,IS CMat16 8x8,50083.0
50099,Crossties9 6x8,50099.0
50103,Crossties9 6x8,50103.0
50107,"Crane Mat 16'x4'x12"" FN",50107.0
50108,"Crane Mat 16'x4'x12"" FN",50108.0
50109,"Crane Mat 16'x4'x12"" FN",50109.0
50110,"Crane Mat 20'x4'x12"" FN",50110.0
50111,"VD Crane Mat 20'x4'x12"" FN",50111.0
50112,"VD Crane Mat 20'x4'x12"" FN",50112.0
50113,"Crane Mat 20'x4'x12"" FN",50113.0
50114,"Crane Mat 20'x4'x12"" FN",50114.0
50115,"Crane Mat 20'x4'x12"" FN",50115.0
50116,"Crane Mat 20'x4'x12"" FN",50116.0
50117,"Crane Mat 20'x4'x12"" FN",50117.0
50118,"Crane Mat 20'x4'x12"" FN",50118.0
50122,Crossties9 6x8,50122.0
50125,Ties23,50125.0
50133,IS CMat24 14x12,50133.0
50134,IS CMat24 12x12,50134.0
50135,VD IS CMat24 12x12,50135.0
50136,IS CMat24 10x12,50136.0
50137,IS CMat24 14x12,50137.0
50138,IS CMat24 12x12,50138.0
50139,IS CMat24 10x12,50139.0
50140,IS CMat24 8x12,50140.0
50141,IS CMat24 8x12,50141.0
50142,IS CMat20 18x12,50142.0
50143,IS CMat20 16x12,50143.0
50144,IS CMat20 14x12,50144.0
50145,IS CMat20 12x12,50145.0
50146,IS CMat18 12x12,50146.0
50147,IS CMat18 10x12,50147.0
50148,IS CMat18 8x12,50148.0
50149,IS CMat14 12x12,50149.0
50150,IS CMat14 10x12,50150.0
50151,IS CMat14 6x12,50151.0
50152,IS CMat14 8x10,50152.0
50153,IS CMat14 8x8,50153.0
50154,IS CMat14 6x8,50154.0
50155,IS CMat12 8x10,50155.0
50156,IS CMat12 8x8,50156.0
50163,VD Crossties9 7x9,50163.0
50186,VD CMat14 12x12,50186.0
50187,IS CMat14 12x12,50187.0
50188,IS CMat14 10x12,50188.0
50189,IS CMat14 8x12,50189.0
50190,IS CMat14 6x12,50190.0
50191,IS CMat14 8x10,50191.0
50192,IS CMat14 8x8,50192.0
50193,IS CMat14 6x8,50193.0
50194,IS CMat12 12x12,50194.0
50195,IS CMat12 10x12,50195.0
50196,IS CMat12 6x12,50196.0
50197,IS CMat12 8x10,50197.0
50198,IS CMat12 8x8,50198.0
50199,IS CMat12 6x8,50199.0
50202,VD PAL12 1.5x6 (9bf ea),50202.0
50218,IS CMat16 8x12,50218.0
50219,IS CMat16 8x10,50219.0
50220,IS CMat16 8x8,50220.0
50221,IS CMat16 6x8,50221.0
50222,IS CMat14 12x12,50222.0
50223,IS CMat14 10x12,50223.0
50224,IS CMat14 6x12,50224.0
50225,IS CMat14 8x10,50225.0
50226,IS CMat14 8x8,50226.0
50227,IS CMat14 6x8,50227.0
50243,VD Ties9 7x8,50243.0
50248,IS CMat16 8x8,50248.0
50249,IS CMat14 8x8,50249.0
50252,VD Ties9 7x8,50252.0
50259,IS Dunnage8 3x4,50259.0
50261,IS CMat20 20x12,50261.0
50262,IS CMat20 18x12,50262.0
50263,IS CMat20 16x12,50263.0
50264,IS CMat20 14x12,50264.0
50265,IS CMat20 12x12,50265.0
50266,IS CMat20 10x12,50266.0
50267,IS CMat18 12x12,50267.0
50268,IS CMat18 10x12,50268.0
50269,IS CMat18 8x12,50269.0
50270,IS CMat18 6x12,50270.0
50271,IS CMat16 8x12,50271.0
50272,IS CMat16 8x10,50272.0
50273,IS CMat16 8x8,50273.0
50290,IS CMat20 20x12,50290.0
50291,IS CMat20 18x12,50291.0
50292,IS CMat20 16x12,50292.0
50293,IS CMat20 14x12,50293.0
50294,IS CMat20 12x12,50294.0
50295,IS CMat20 10x12,50295.0
50296,IS CMat18 12x12,50296.0
50297,IS CMat18 10x12,50297.0
50298,IS CMat18 8x12,50298.0
50299,IS CMat18 6x12,50299.0
50300,IS CMat18 8x10,50300.0
50301,IS CMat16 12x12,50301.0
50302,IS CMat16 10x12,50302.0
50303,IS CMat16 6x12,50303.0
50328,IS CMat14 6x8,50328.0
50329,IS CMat14 6x12,50329.0
50330,IS CMat14 8x8,50330.0
50331,IS CMat14 8x12,50331.0
50332,IS CMat14 10x12,50332.0
50333,IS CMat14 12x12,50333.0
50334,IS CMat14 8x10,50334.0
50335,IS CMat14 12x12,50335.0
50336,IS CMat12 8x8,50336.0
50337,IS CMat12 10x12,50337.0
50338,IS CMat12 6x8,50338.0
50339,IS CMat12 8x10,50339.0
50340,IS CMat12 12x12,50340.0
50341,IS CMat12 6x12,50341.0
50365,IS CMat14 8x8,50365.0
50366,IS CMat14 6x8,50366.0
50367,IS CMat14 10x12,50367.0
50368,IS CMat14 12x12,50368.0
50369,IS CMat14 6x12,50369.0
50370,IS CMat14 8x10,50370.0
50371,IS CMat12 8x8,50371.0
50372,IS CMat12 6x8,50372.0
50373,IS CMat12 10x12,50373.0
50374,IS CMat12 12x12,50374.0
50375,IS CMat12 6x12,50375.0
50376,IS CMat12 8x10,50376.0
50377,VD WO 4/4 FAS,50377.0
50394,IS CMat20 16x12,50394.0
50395,IS CMat20 14x12,50395.0
50396,IS CMat20 12x12,50396.0
50397,IS CMat20 10x12,50397.0
50398,IS CMat18 12x12,50398.0
50399,IS CMat18 10x12,50399.0
50400,IS CMat18 10x12,50400.0
50401,IS CMat18 6x12,50401.0
50402,IS CMat16 16x12,50402.0
50403,IS CMat16 14x12,50403.0
50404,IS CMat18 12x12,50404.0
50405,IS CMat18 10x12,50405.0
50406,IS CMat16 8x12,50406.0
50407,IS CMat16 8x10,50407.0
50408,IS CMat16 6x8,50408.0
50409,IS CMat14 8x10,50409.0
50410,IS CMat14 6x8,50410.0
50411,IS CMat12 10x12,50411.0
50412,IS CMat12 6x12,50412.0
50413,IS CMat12 8x8,50413.0
50437,IS CMat20 18x12,50437.0
50438,IS CMat20 16x12,50438.0
50439,IS CMat20 14x12,50439.0
50440,IS CMat20 12x12,50440.0
50441,IS CMat20 10x12,50441.0
50442,IS CMat18 12x12,50442.0
50443,IS CMat18 10x12,50443.0
50444,IS CMat18 8x12,50444.0
50445,IS CMat18 6x8,50445.0
50450,VD PAL16 1.5x9 (18bf ea),50450.0
50465,IS CMat20 20x12,50465.0
50466,IS CMat20 16x12,50466.0
50467,IS CMat20 14x12,50467.0
50468,IS CMat20 12x12,50468.0
50469,IS CMat20 10x12,50469.0
50470,IS CMat18 12x12,50470.0
50471,IS CMat18 10x12,50471.0
50472,IS CMat18 8x12,50472.0
50473,IS CMat18 6x12,50473.0
50474,IS CMat14 12x12,50474.0
50475,IS CMat14 10x12,50475.0
50476,IS CMat14 8x12,50476.0
50477,IS CMat14 6x12,50477.0
50478,IS CMat14 8x10,50478.0
50479,IS CMat14 8x8,50479.0
50496,IS CMat16 8x8,50496.0
50502,IS CMat16 8x8,50502.0
50503,IS CMat16 8x8,50503.0
50517,IS CMat16 8x8,50517.0
50518,IS CMat16 8x8,50518.0
50519,IS CMat16 8x8,50519.0
50526,IS CMat14 12x12,50526.0
50527,IS CMat14 10x12,50527.0
50528,IS CMat14 8x12,50528.0
50529,IS CMat14 6x12,50529.0
50530,IS CMat14 8x10,50530.0
50531,IS CMat14 8x8,50531.0
50532,IS CMat14 6x8,50532.0
50533,IS CMat20 20x12,50533.0
50534,IS CMat20 18x12,50534.0
50535,IS CMat20 16x12,50535.0
50536,IS CMat20 14x12,50536.0
50537,IS CMat20 12x12,50537.0
50538,IS CMat20 10x12,50538.0
50539,IS CMat18 10x12,50539.0
50540,IS CMat18 8x12,50540.0
50563,IS CMat20 16x12,50563.0
50564,IS CMat20 14x12,50564.0
50565,IS CMat20 12x12,50565.0
50566,IS CMat20 10x12,50566.0
50567,IS CMat16 8x10,50567.0
50568,IS CMat16 8x8,50568.0
50569,IS CMat16 6x8,50569.0
50570,IS CMat16 12x12,50570.0
50571,IS CMat16 10x12,50571.0
50572,IS CMat16 6x12,50572.0
50573,IS CMat12 8x12,50573.0
50574,IS CMat12 10x12,50574.0
50575,IS CMat12 12x12,50575.0
50576,IS CMat12 14x12,50576.0
50577,IS CMat12 16x12,50577.0
50578,IS CMat10 8x12,50578.0
50579,IS CMat10 10x12,50579.0
50580,IS CMat10 12x12,50580.0
50581,IS CMat10 6x12,50581.0
50582,IS CMat10 8x12,50582.0
50601,VD PCant8 3x10,50601.0
50603,IS CMat12 8x12,50603.0
50604,IS CMat12 10x12,50604.0
50605,IS CMat12 12x12,50605.0
50606,IS CMat12 14x12,50606.0
50607,IS CMat12 16x12,50607.0
50609,IS CMat10 6x12,50609.0
50610,IS CMat10 8x12,50610.0
50611,IS CMat10 10x12,50611.0
50612,IS CMat10 12x12,50612.0
50614,IS CMat16 12x12,50614.0
50617,IS CMat16 8x12,50617.0
50618,IS CMat18 8x10,50618.0
50619,IS CMat18 8x8,50619.0
50620,IS CMat16 8x10,50620.0
50621,IS CMat16 8x8,50621.0
50622,IS CMat16 6x8,50622.0
50623,IS CMat14 8x10,50623.0
50624,IS CMat14 8x8,50624.0
50653,VD 202Mat 20x4x12,50653.0
50654,VD 202Mat 20x4x12,50654.0
50655,VD 202Mat 20x4x12,50655.0
50656,VD 202Mat 20x4x12,50656.0
50657,VD 202Mat 20x4x12,50657.0
50658,VD 202Mat 20x4x12,50658.0
50659,VD 202Mat 20x4x12,50659.0
50660,VD 202Mat 20x4x12,50660.0
50668,IS CMat16 12x12,50668.0
50669,IS CMat16 6x8,50669.0
50670,IS CMat16 8x8,50670.0
50671,IS CMat16 6x8,50671.0
50672,IS CMat24 8x12,50672.0
50673,IS CMat24 8x10,50673.0
50674,IS CMat24 8x8,50674.0
50675,IS Cmat22 8x10,50675.0
50676,IS Cmat22 8x8,50676.0
50677,IS CMat18 8x10,50677.0
50678,IS CMat18 8x8,50678.0
50679,IS CMat18 6x8,50679.0
50688,VD Crossties9 7x9,50688.0
50692,VD PAL8 1.5x6 (6bf ea),50692.0
50696,VD Ties16,50696.0
50703,VD 162Mat 16x4x12,50703.0
50707,VD 162Mat 16x4x12,50707.0
50708,VD 162Mat 16x4x12,50708.0
50709,VD 162Mat 16x4x12,50709.0
50710,VD 122Mat 12x4x12,50710.0
50711,VD 122Mat 12x4x12,50711.0
50712,VD 122Mat 12x4x12,50712.0
50713,VD 122Mat 12x4x12,50713.0
50714,VD 122Mat 12x4x12,50714.0
50715,VD 122Mat 12x4x12,50715.0
50716,VD VD 122Mat 12x4x12,50716.0
50717,VD 122Mat 12x4x12,50717.0
50718,VD 122Mat 12x4x12,50718.0
50720,VD 168Mat 16x4x8,50720.0
50721,VD 168Mat 16x4x8,50721.0
50722,VD 168Mat 16x4x8,50722.0
50723,VD 168Mat 16x4x8,50723.0
50724,VD 168Mat 16x4x8,50724.0
50742,188Mat 18x4x8,50742.0
50776,202Mat 20x4x12,50776.0
50777,202Mat 20x4x12,50777.0
50778,VD 202Mat 20x4x12,50778.0
50779,202Mat 20x4x12,50779.0
50780,202Mat 20x4x12,50780.0
50781,202Mat 20x4x12,50781.0
50782,202Mat 20x4x12,50782.0
50783,202Mat 20x4x12,50783.0
50784,202Mat 20x4x12,50784.0
50786,IS CMat16 12x12,50786.0
50787,IS CMat16 10x12,50787.0
50788,IS CMat16 8x12,50788.0
50789,IS CMat16 8x10,50789.0
50790,IS CMat16 8x8,50790.0
50791,IS CMat16 6x8,50791.0
50792,IS CMat14 8x8,50792.0
50793,IS CMat18 12x12,50793.0
50794,IS CMat18 8x10,50794.0
50795,IS CMat18 8x8,50795.0
50796,IS CMat20 8x12,50796.0
50797,IS CMat20 8x10,50797.0
50799,VD 162Mat 16x4x12,50799.0
50811,IS CMat16 8x8,50811.0
50814,IS CMat16 8x8,50814.0
50833,100 Custom Matt,50833.0
50834,100 Custom Matt,50834.0
50837,IS CMat24 14x12,50837.0
50838,IS CMat20 8x12,50838.0
50839,IS CMat20 8x10,50839.0
50840,IS CMat20 8x10,50840.0
50841,IS CMat18 8x12,50841.0
50842,IS CMat18 8x10,50842.0
50843,IS CMat18 8x8,50843.0
50844,IS CMat18 6x8,50844.0
50845,IS CMat16 8x10,50845.0
50846,IS CMat16 8x8,50846.0
50847,IS CMat16 6x8,50847.0
50848,IS CMat16 8x12,50848.0
50849,IS CMat14 8x10,50849.0
50870,IS CMat20 20x12,50870.0
50871,IS CMat20 18x12,50871.0
50872,IS CMat20 16x12,50872.0
50873,IS CMat20 14x12,50873.0
50874,IS CMat20 12x12,50874.0
50875,IS CMat20 10x12,50875.0
50876,IS CMat18 10x12,50876.0
50877,IS CMat18 8x12,50877.0
50878,IS CMat18 8x10,50878.0
50879,IS CMat18 8x8,50879.0
50880,IS CMat18 6x8,50880.0
50881,IS CMat16 12x12,50881.0
50882,IS CMat16 8x8,50882.0
50883,IS CMat16 6x8,50883.0
50890,VD Ties14 6x8,50890.0
50901,Pcant12 3x10,50901.0
50913,IS CMat16 8x8,50913.0
50916,IS CMat16 8x8,50916.0
50917,IS CMat16 8x8,50917.0
50934,IS CMat20 20x12,50934.0
50935,IS CMat20 18x12,50935.0
50936,IS CMat20 16x12,50936.0
50937,IS CMat20 14x12,50937.0
50938,IS CMat20 12x12,50938.0
50939,IS CMat20 10x12,50939.0
50940,IS CMat18 12x12,50940.0
50941,IS CMat18 8x12,50941.0
50942,IS CMat18 6x12,50942.0
50943,IS CMat16 10x12,50943.0
50944,IS CMat16 6x12,50944.0
50945,IS CMat18 8x10,50945.0
50976,IS CMat14 12x12,50976.0
50977,IS CMat14 10x12,50977.0
50978,VD CMat14 6x12,50978.0
50979,IS CMat14 6x12,50979.0
50980,IS CMat14 8x10,50980.0
50981,IS CMat14 8x8,50981.0
50982,IS CMat14 6x8,50982.0
50983,IS CMat12 8x10,50983.0
50984,IS CMat12 8x8,50984.0
50985,IS CMat18 8x10,50985.0
50986,IS CMat16 8x8,50986.0
50987,IS CMat18 6x8,50987.0
50988,IS CMat16 6x8,50988.0
51022,IS CMat14 12x12,51022.0
51023,IS CMat14 10x12,51023.0
51024,IS CMat14 6x12,51024.0
51025,IS CMat14 8x10,51025.0
51026,IS CMat14 8x8,51026.0
51027,IS CMat14 6x8,51027.0
51028,IS CMat12 12x12,51028.0
51029,IS CMat12 6x12,51029.0
51030,IS CMat12 8x10,51030.0
51031,IS CMat12 8x8,51031.0
51069,IS Cmat16 7x8,51069.0
51085,IS CMat20 16x12,51085.0
51086,IS CMat20 14x12,51086.0
51087,IS CMat20 12x12,51087.0
51088,IS CMat20 10x12,51088.0
51089,IS CMat18 12x12,51089.0
51090,IS CMat18 10x12,51090.0
51091,IS CMat18 8x12,51091.0
51092,IS CMat18 6x12,51092.0
51093,IS CMat18 8x10,51093.0
51094,IS CMat16 10x12,51094.0
51095,IS CMat16 6x12,51095.0
51122,IS CMat20 18x12,51122.0
51123,IS CMat20 16x12,51123.0
51124,IS CMat20 14x12,51124.0
51125,IS CMat20 12x12,51125.0
51126,IS CMat20 10x12,51126.0
51127,IS CMat18 12x12,51127.0
51128,IS CMat18 10x12,51128.0
51129,IS CMat18 8x12,51129.0
51130,IS CMat18 6x12,51130.0
51131,IS CMat18 8x10,51131.0
51132,IS CMat16 12x12,51132.0
51133,IS CMat16 10x12,51133.0
51134,IS CMat16 8x12,51134.0
51135,IS CMat16 6x12,51135.0
51150,VD Stock8 6x6,51150.0
51158,IS CMat20 20x12,51158.0
51159,IS CMat20 18x12,51159.0
51160,IS CMat20 16x12,51160.0
51161,IS CMat20 14x12,51161.0
51162,IS CMat20 12x12,51162.0
51163,IS CMat20 10x12,51163.0
51164,IS CMat18 12x12,51164.0
51165,IS CMat18 10x12,51165.0
51166,IS CMat18 8x12,51166.0
51167,IS CMat18 6x12,51167.0
51168,IS CMat16 12x12,51168.0
51169,IS CMat16 10x12,51169.0
51170,IS CMat16 6x12,51170.0
51171,IS CMat18 8x10,51171.0
51172,IS CMat16 8x10,51172.0
51173,IS Dunnage8 3x4,51173.0
51182,VD PAL10 1.75x9 (13.13bf ea),51182.0
51183,VD PAL10 1.75x9 (13.13bf ea),51183.0
51187,IS CMat12 8x12,51187.0
51188,IS CMat12 8x10,51188.0
51189,IS CMat12 6x8,51189.0
51200,IS Dunnage8 3x4,51200.0
51202,IS CMat20 20x12,51202.0
51203,IS CMat20 18x12,51203.0
51204,IS CMat20 16x12,51204.0
51205,IS CMat20 14x12,51205.0
51206,IS CMat20 12x12,51206.0
51207,IS CMat20 10x12,51207.0
51208,IS CMat18 12x12,51208.0
51209,IS CMat18 8x12,51209.0
51210,IS CMat16 12x12,51210.0
51211,IS CMat16 10x12,51211.0
51212,IS CMat16 6x12,51212.0
51213,IS CMat16 8x12,51213.0
51214,IS CMat16 8x10,51214.0
51216,IS CMat16 8x8,51216.0
51217,IS CMat16 6x8,51217.0
51218,VD 100 Custom Matt,51218.0
51226,VD Ties15,51226.0
51227,VD Ties16,51227.0
51248,IS CMat16 20x12,51248.0
51249,IS CMat16 18x12,51249.0
51250,IS CMat16 16x12,51250.0
51251,IS CMat16 14x12,51251.0
51252,IS CMat16 12x12,51252.0
51253,IS CMat16 10x12,51253.0
51254,IS CMat16 8x10,51254.0
51255,IS CMat16 8x8,51255.0
51256,IS CMat16 6x8,51256.0
51257,IS CMat14 10x12,51257.0
51258,IS CMat14 10x12,51258.0
51259,IS CMat14 8x12,51259.0
51260,IS CMat14 6x12,51260.0
51261,IS CMat18 12x12,51261.0
51262,IS CMat18 8x10,51262.0
51274,VD CMat14 8x14,51274.0
51275,IS CMat14 14x12,51275.0
51298,IS CMat16 12x12,51298.0
51299,IS CMat16 10x12,51299.0
51300,IS CMat16 8x10,51300.0
51301,IS CMat16 8x8,51301.0
51302,IS CMat16 6x8,51302.0
51303,IS CMat14 8x8,51303.0
51311,VD PAL8 1.75x8 (9.33bf ea),51311.0
51337,IS CMat16 16x12,51337.0
51338,IS CMat16 14x12,51338.0
51339,IS CMat16 12x12,51339.0
51340,IS CMat16 10x12,51340.0
51341,IS CMat16 8x12,51341.0
51342,IS CMat16 6x12,51342.0
51343,IS CMat16 8x10,51343.0
51344,IS CMat16 8x8,51344.0
51367,IS CMat20 18x12,51367.0
51368,IS CMat20 16x12,51368.0
51369,IS CMat20 14x12,51369.0
51370,IS CMat20 12x12,51370.0
51371,IS CMat20 10x12,51371.0
51372,IS CMat18 12x12,51372.0
51373,IS CMat18 10x12,51373.0
51374,IS CMat18 8x12,51374.0
51375,IS CMat18 6x12,51375.0
51376,IS CMat18 8x10,51376.0
51377,IS CMat16 12x12,51377.0
51378,IS CMat16 10x12,51378.0
98045,Ties9 7x9,98045.0
98048,Ties9 7x9,98048.0
98049,Ties9 7x9,98049.0
